Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,247968227,3181.3066015327304,3045362,39.07045008091669,479578,5020204,64.40667144924588,49359,0.6332509388190862,7706,
United States of America,Americas,45889496,13863.785,527691,159.422,75892,743140,224.512,8693,2.626,1426
India,South-East Asia,34321025,2487.023,89216,6.465,12885,459652,33.308,3266,0.237,461
Brazil,Americas,21821124,10265.894,72140,33.939,6431,608071,286.071,1825,0.859,149
The United Kingdom,Europe,9171664,13510.39,274511,404.371,40803,141181,207.968,1140,1.679,217
Russian Federation,Europe,8673860,5943.668,281163,192.664,40217,243255,166.688,8198,5.618,1195
Turkey,Europe,8121226,9629.258,185219,219.612,29764,71298,84.537,1529,1.813,246
France,Europe,6956857,10696.38,39087,60.097,9592,115386,177.409,188,0.289,37
Iran (Islamic Republic of),Eastern Mediterranean,5954962,7089.836,66862,79.604,10363,126763,150.921,1047,1.247,147
Argentina,Americas,5291285,11707.477,8285,18.331,1340,116010,256.683,144,0.319,21
Spain,Europe,5019255,10604.221,11050,23.345,1515,87462,184.782,55,0.116,4
Colombia,Americas,5005402,9837.102,11388,22.381,1425,127348,250.277,215,0.423,37
Italy,Europe,4782802,8019.253,30434,51.028,5188,132224,221.698,270,0.453,63
Germany,Europe,4672368,5618.075,137916,165.831,33949,96192,115.662,707,0.85,165
Indonesia,South-East Asia,4246802,1552.627,4270,1.561,628,143500,52.463,167,0.061,19
Mexico,Americas,3811793,2956.419,22807,17.689,3588,288733,223.941,1845,1.431,269
Poland,Europe,3060613,8063.127,61722,162.605,15511,77395,203.896,622,1.639,250
Ukraine,Europe,3006463,6874.467,154659,353.638,27377,70146,160.393,3942,9.014,699
South Africa,Africa,2922735,4928.005,2154,3.632,344,89220,150.433,171,0.288,23
Philippines,Western Pacific,2793898,2549.617,25101,22.906,1591,43586,39.775,1238,1.13,182
Malaysia,Western Pacific,2486630,7682.846,38258,118.204,5291,29091,89.881,417,1.288,46
Peru,Americas,2202671,6680.458,5619,17.042,482,200300,607.488,182,0.552,24
Netherlands,Europe,2156582,12388.749,55826,320.699,9195,18474,106.126,118,0.678,33
Iraq,Eastern Mediterranean,2058914,5118.813,8262,20.541,1198,23248,57.799,187,0.465,25
Thailand,South-East Asia,1943424,2784.276,58451,83.741,7982,19462,27.883,456,0.653,68
Czechia,Europe,1792707,16763.767,44891,419.78,9460,30878,288.743,173,1.618,19
Japan,Western Pacific,1723395,1362.621,5686,4.496,233,18290,14.461,62,0.049,8
Canada,Americas,1720355,4558.179,15981,42.343,1884,29056,76.986,216,0.572,33
Chile,Americas,1699427,8889.983,13109,68.575,1300,37790,197.686,93,0.486,8
Romania,Europe,1685264,8718.91,69237,358.206,8971,49604,256.632,3174,16.421,489
Bangladesh,South-East Asia,1570485,953.604,1628,0.989,247,27887,16.933,40,0.024,7
Belgium,Europe,1393358,12092.56,35384,307.088,5,26083,226.367,106,0.92,2
Israel,Europe,1332398,15393.584,3999,46.202,605,8109,93.686,24,0.277,0
Pakistan,Eastern Mediterranean,1274578,577.013,4256,1.927,561,28477,12.892,72,0.033,11
Sweden,Europe,1175425,11381.408,5911,57.235,1162,15043,145.658,8,0.077,0
Serbia,Europe,1162482,16782.612,43577,629.116,6726,10139,146.376,441,6.367,61
Portugal,Europe,1092666,10612.623,5421,52.652,1074,18180,176.575,36,0.35,9
Kazakhstan,Europe,1024449,5455.957,10946,58.296,1505,17238,91.805,188,1.001,37
Cuba,Americas,953750,8420.432,4903,43.287,567,8250,72.837,40,0.353,4
Morocco,Eastern Mediterranean,946766,2565.027,1565,4.24,223,14689,39.796,42,0.114,6
Viet Nam,Western Pacific,939463,965.15,38878,39.941,7106,22283,22.892,427,0.439,78
Hungary,Europe,885360,9062.466,25982,265.949,6268,31101,318.347,409,4.186,107
Switzerland,Europe,877952,10144.318,9967,115.164,6,10830,125.136,24,0.277,0
Jordan,Eastern Mediterranean,868493,8512.022,12043,118.032,2042,11077,108.565,94,0.921,15
Austria,Europe,844433,9486.877,38508,432.622,6494,11114,124.861,72,0.809,14
Nepal,South-East Asia,814115,2794.112,2708,9.294,287,11436,39.249,54,0.185,2
Greece,Europe,760592,7096.025,32382,302.111,6141,16109,150.291,339,3.163,59
United Arab Emirates,Eastern Mediterranean,740136,7483.376,570,5.763,79,2137,21.607,2,0.02,0
Georgia,Europe,738171,18504.352,30881,774.12,5206,10238,256.645,320,8.022,53
Tunisia,Eastern Mediterranean,712982,6032.701,843,7.133,102,25254,213.68,33,0.279,4
Lebanon,Eastern Mediterranean,643749,9431.605,4417,64.714,702,8522,124.856,50,0.733,7
Bulgaria,Europe,619284,8908.661,31519,453.414,4922,24589,353.723,995,14.313,135
Belarus,Europe,606033,6413.508,13809,146.137,1996,4679,49.517,116,1.228,17
Guatemala,Americas,601793,3359.051,4025,22.466,0,15179,84.725,317,1.769,0
Costa Rica,Americas,561054,11013.761,3132,61.483,491,7093,139.239,96,1.885,15
Saudi Arabia,Eastern Mediterranean,548760,1576.268,337,0.968,49,8799,25.274,14,0.04,1
Sri Lanka,South-East Asia,542793,2534.847,3933,18.367,0,13791,64.404,95,0.444,0
Azerbaijan,Europe,537004,5296.328,14636,144.351,2256,7153,70.548,187,1.844,21
Ecuador,Americas,515859,2923.865,0,0,0,32958,186.804,0,0,0
Bolivia (Plurinational State of),Americas,514679,4409.133,3532,30.258,869,18936,162.22,29,0.248,8
Myanmar,South-East Asia,502979,924.427,5279,9.702,0,18744,34.45,122,0.224,0
Slovakia,Europe,499990,9160.895,29982,549.335,6713,13146,240.863,169,3.096,34
Croatia,Europe,483142,11905.43,25052,617.323,6310,9364,230.745,222,5.47,32
Panama,Americas,472877,10959.503,993,23.014,141,7315,169.534,1,0.023,0
Paraguay,Americas,461132,6465.188,317,4.444,46,16250,227.829,17,0.238,1
Ireland,Europe,455346,9172.152,19820,399.239,3174,5492,110.627,56,1.128,56
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,454799,8915.156,2157,42.282,290,4697,92.073,40,0.784,3
Lithuania,Europe,418078,14962.94,18330,656.028,3261,6010,215.097,236,8.446,39
Kuwait,Eastern Mediterranean,412752,9665.031,158,3.7,21,2462,57.65,1,0.023,0
Venezuela (Bolivarian Republic of),Americas,408727,1437.361,6320,22.225,861,4915,17.284,79,0.278,13
Uruguay,Americas,394248,11349.414,1663,47.874,195,6080,175.028,6,0.173,0
Denmark,Europe,393199,6752.791,12250,210.381,1978,2717,46.662,9,0.155,1
Dominican Republic,Americas,384208,3541.77,5974,55.071,891,4144,38.201,26,0.24,6
Honduras,Americas,375877,3794.971,1094,11.045,99,10274,103.73,63,0.636,18
Republic of Korea,Western Pacific,373120,727.767,14708,28.688,2482,2916,5.688,108,0.211,24
Ethiopia,Africa,366097,318.446,2385,2.075,321,6494,5.649,82,0.071,8
Libya,Eastern Mediterranean,359019,5224.913,3529,51.359,556,5157,75.051,109,1.586,18
Mongolia,Western Pacific,351145,10711.224,6291,191.899,1279,1704,51.978,78,2.379,10
Slovenia,Europe,341699,16303.514,15639,746.185,3454,5083,242.526,10,0.477,0
Republic of Moldova,Europe,341675,8469.959,9050,224.345,1487,7912,196.135,293,7.263,42
Egypt,Eastern Mediterranean,333840,326.225,6554,6.404,951,18832,18.402,404,0.395,63
Armenia,Europe,315004,10630.413,12554,423.659,2330,6532,220.435,343,11.575,41
Oman,Eastern Mediterranean,304318,5959.277,99,1.939,10,4112,80.523,1,0.02,1
Bahrain,Eastern Mediterranean,276956,16276.45,271,15.926,39,1393,81.865,0,0,0
Bosnia and Herzegovina,Europe,256307,7812.297,5043,153.712,1253,11685,356.162,235,7.163,31
Kenya,Africa,253409,471.272,471,0.876,0,5282,9.823,16,0.03,0
Qatar,Eastern Mediterranean,239646,8318,801,27.802,138,611,21.208,2,0.069,0
Latvia,Europe,226860,11891.963,15158,794.58,2347,3401,178.28,231,12.109,47
Nigeria,Africa,212359,103.017,863,0.419,209,2900,1.407,14,0.007,1
Norway,Europe,210239,3916.83,6930,129.108,425,919,17.121,18,0.335,0
Zambia,Africa,209781,1141.109,124,0.675,21,3661,19.914,1,0.005,0
Singapore,Western Pacific,207975,3554.92,23556,402.643,3635,442,7.555,93,1.59,12
Algeria,Africa,206754,471.492,685,1.562,105,5931,13.525,27,0.062,4
North Macedonia,Europe,203866,9785.349,3010,144.477,568,7178,344.536,81,3.888,12
Estonia,Europe,201194,15139.024,12672,953.516,1943,1574,118.437,83,6.245,11
Botswana,Africa,187281,7963.891,1296,55.111,0,2407,102.355,5,0.213,0
Uzbekistan,Europe,187085,558.977,2180,6.513,292,1332,3.98,16,0.048,3
Albania,Europe,186793,6490.826,3511,122.003,571,2940,102.161,47,1.633,3
Puerto Rico,Americas,185001,6466.638,688,24.049,120,3236,113.113,9,0.315,2
Kyrgyzstan,Europe,181590,2783.334,601,9.212,91,2679,41.063,15,0.23,3
Australia,Western Pacific,174275,683.434,10596,41.553,1147,1768,6.933,99,0.388,12
Finland,Europe,161688,2926.325,4034,73.01,350,1184,21.429,0,0,0
Kosovo[1],Europe,160766,8953.001,129,7.184,21,2968,165.287,2,0.111,1
Afghanistan,Eastern Mediterranean,156323,401.566,199,0.511,16,7284,18.711,18,0.046,3
Mozambique,Africa,151325,484.156,72,0.23,9,1932,6.181,3,0.01,0
Montenegro,Europe,145913,23232.261,3620,576.376,603,2113,336.432,38,6.05,6
Zimbabwe,Africa,133091,895.456,283,1.904,44,4684,31.515,9,0.061,1
Ghana,Africa,130287,419.294,246,0.792,0,1182,3.804,8,0.026,0
Namibia,Africa,128963,5075.475,95,3.739,25,3557,139.989,7,0.275,3
China,Western Pacific,126384,8.59,646,0.044,114,5696,0.387,0,0,0
Uganda,Africa,126348,276.225,428,0.936,28,3221,7.042,12,0.026,2
Cyprus,Europe,125161,14094.628,1253,141.103,188,575,64.752,4,0.45,0
Cambodia,Western Pacific,118787,710.493,676,4.043,85,2807,16.789,49,0.293,7
El Salvador,Americas,113422,1748.665,0,0,0,3654,56.335,58,0.894,7
Cameroon,Africa,104348,393.086,1849,6.965,0,1731,6.521,45,0.17,0
Rwanda,Africa,99820,770.679,306,2.363,55,1332,10.284,10,0.077,0
Jamaica,Americas,89216,3012.866,686,23.167,46,2249,75.95,57,1.925,3
Maldives,South-East Asia,88277,16331.14,790,146.149,0,243,44.955,0,0,0
Luxembourg,Europe,82190,13127.128,827,132.086,98,848,135.44,5,0.799,0
Senegal,Africa,73926,441.509,24,0.143,4,1879,11.222,1,0.006,1
Angola,Africa,64533,196.35,407,1.238,46,1716,5.221,13,0.04,3
Malawi,Africa,61803,323.069,29,0.152,1,2302,12.033,5,0.026,0
Côte d’Ivoire,Africa,61330,232.502,78,0.296,11,696,2.639,5,0.019,0
Trinidad and Tobago,Americas,57713,4123.865,1700,121.473,294,1720,122.902,65,4.645,11
Democratic Republic of the Congo,Africa,57587,64.299,117,0.131,5,1098,1.226,7,0.008,0
Réunion,Africa,55125,6157.072,457,51.044,457,376,41.997,2,0.223,2
Guadeloupe,Americas,54474,13614.28,186,46.486,0,820,204.936,5,1.25,0
Fiji,Western Pacific,52209,5824.005,130,14.502,12,674,75.186,1,0.112,0
Suriname,Americas,49257,8396.576,709,120.859,138,1098,187.17,29,4.943,4
Eswatini,Africa,46447,4003.486,54,4.655,9,1242,107.054,0,0,0
French Polynesia,Western Pacific,45541,16212.069,0,0,0,636,226.409,0,0,0
French Guiana,Americas,44784,14993.873,346,115.842,0,311,104.124,7,2.344,0
Syrian Arab Republic,Eastern Mediterranean,44191,252.511,1840,10.514,260,2593,14.817,57,0.326,9
Madagascar,Africa,43632,157.567,6,0.022,0,964,3.481,1,0.004,0
Martinique,Americas,43347,11551.037,325,86.605,0,683,182.005,8,2.132,0
Lao People's Democratic Republic,Western Pacific,42891,589.522,5140,70.647,1062,73,1.003,14,0.192,3
Sudan,Eastern Mediterranean,40433,92.209,0,0,0,2995,6.83,0,0,0
Cabo Verde,Africa,38219,6874.082,50,8.993,0,349,62.771,0,0,0
Malta,Europe,37738,7333.976,141,27.402,34,462,89.785,2,0.389,0
Mauritania,Africa,37489,806.274,395,8.495,121,799,17.184,7,0.151,2
Gabon,Africa,36020,1618.343,768,34.505,179,249,11.187,14,0.629,5
Guyana,Americas,35719,4541.213,549,69.798,62,926,117.729,27,3.433,1
Papua New Guinea,Western Pacific,31010,346.596,2187,24.444,499,392,4.381,47,0.525,0
Guinea,Africa,30681,233.621,34,0.259,9,385,2.932,0,0,0
Belize,Americas,27305,6866.971,1153,289.97,156,499,125.494,17,4.275,4
United Republic of Tanzania,Africa,26196,43.854,42,0.07,42,725,1.214,0,0,0
Togo,Africa,26096,315.218,72,0.87,10,243,2.935,1,0.012,1
Benin,Africa,24804,204.599,55,0.454,0,161,1.328,0,0,0
Haiti,Americas,24004,210.515,231,2.026,0,677,5.937,15,0.132,0
Bahamas,Americas,22429,5703.584,123,31.278,0,643,163.512,0,0,0
Seychelles,Africa,22336,22711.42,123,125.067,28,114,115.916,0,0,0
Somalia,Eastern Mediterranean,21998,138.411,0,0,0,1208,7.601,0,0,0
Lesotho,Africa,21643,1010.293,43,2.007,3,658,30.715,1,0.047,0
Mayotte,Africa,20612,7555.303,115,42.153,0,185,67.812,3,1.1,0
Burundi,Africa,20106,169.089,90,0.757,0,14,0.118,0,0,0
Timor-Leste,South-East Asia,19794,1501.314,9,0.683,4,122,9.253,0,0,0
Barbados,Americas,18459,6423.314,2426,844.193,436,158,54.98,15,5.22,2
Mauritius,Africa,18314,1440.043,728,57.243,109,199,15.648,35,2.752,3
Congo,Africa,17944,325.185,621,11.254,274,297,5.382,39,0.707,19
Tajikistan,Europe,17486,183.337,0,0,0,125,1.311,0,0,0
Curaçao,Americas,17091,10415.435,64,39.002,0,174,106.037,1,0.609,0
Mali,Africa,16196,79.977,271,1.338,47,569,2.81,8,0.04,1
Aruba,Americas,15931,14921.417,83,77.74,0,171,160.163,0,0,0
Andorra,Europe,15577,20160.487,115,148.838,61,130,168.252,0,0,0
Burkina Faso,Africa,15103,72.252,310,1.483,0,221,1.057,7,0.033,0
Guam,Western Pacific,14780,8757.221,203,120.278,22,245,145.164,13,7.703,3
Iceland,Europe,14087,3868.631,662,181.801,151,34,9.337,1,0.275,0
Djibouti,Eastern Mediterranean,13487,1365.081,26,2.632,1,183,18.522,2,0.202,1
Brunei Darussalam,Western Pacific,13446,3073.519,736,168.237,125,54,12.343,1,0.229,0
Equatorial Guinea,Africa,13377,953.467,141,10.05,0,167,11.903,4,0.285,0
Nicaragua,Americas,13047,196.949,181,2.732,0,209,3.155,1,0.015,0
Saint Lucia,Americas,12610,6867.182,145,78.964,24,259,141.047,9,4.901,1
South Sudan,Africa,12448,111.205,100,0.893,12,133,1.188,0,0,0
Central African Republic,Africa,11579,239.742,61,1.263,0,100,2.07,0,0,0
Jersey,Europe,11255,10441.018,403,373.854,48,80,74.214,0,0,0
New Caledonia,Western Pacific,11129,3898.101,361,126.446,77,267,93.521,4,1.401,0
Gambia,Africa,9973,412.676,10,0.414,0,341,14.11,1,0.041,0
Isle of Man,Europe,9844,11576.818,424,498.636,47,57,67.034,0,0,0
Yemen,Eastern Mediterranean,9810,32.891,82,0.275,4,1897,6.36,29,0.097,3
United States Virgin Islands,Americas,7233,6926.502,79,75.652,27,81,77.568,0,0,0
Eritrea,Africa,6881,194.027,81,2.284,21,45,1.269,0,0,0
New Zealand,Western Pacific,6611,137.094,976,20.24,142,28,0.581,0,0,0
Niger,Africa,6421,26.526,121,0.5,22,220,0.909,9,0.037,4
Sierra Leone,Africa,6398,80.206,1,0.013,0,121,1.517,0,0,0
Guinea-Bissau,Africa,6144,312.195,11,0.559,7,142,7.215,1,0.051,1
Gibraltar,Europe,6065,18001.84,146,433.35,36,98,290.879,0,0,0
Grenada,Americas,5850,5198.937,26,23.106,0,198,175.964,1,0.889,0
Liberia,Africa,5815,114.974,3,0.059,0,287,5.675,0,0,0
Bermuda,Americas,5657,9084.194,32,51.387,0,104,167.007,6,9.635,0
San Marino,Europe,5582,16447.64,42,123.755,11,92,271.083,0,0,0
Chad,Africa,5107,31.091,38,0.231,0,175,1.065,1,0.006,0
Saint Vincent and the Grenadines,Americas,5012,4517.757,107,96.449,17,69,62.196,5,4.507,1
Dominica,Americas,4863,6755.011,172,238.919,80,32,44.45,1,1.389,0
