Genre,_1970s,_1980s,_1990s,_2000s,_2010s,_all,U_1980s,U_1990s,U_2000s,U_2010s,E_1980s,E_1990s,E_2000s,E_2010s,J_1980s,J_1990s,J_2000s,J_2010s
Action,0.34,57.23,166.94,942.51,555.82,1722.84,41.85,86.52,505.65,227.43,5.24,49.99,260.71,200.52,9.32,22.33,64.86,62.14
Sports,0.49,33.9,185.65,856.93,232.27,1309.24,10.97,93.13,459.65,105.88,3.04,38.45,243.22,86.6,19.48,45.93,58.43,10.92
Shooter,7.07,52.72,75.76,505.26,385.39,1026.2,44.28,42.76,297.03,184.53,2.4,19.84,145.24,142.54,5.3,10.3,11.16,11.42
Role-Playing,0,19.77,209.03,459.84,235.19,923.83,1.14,53.8,192.54,79.02,0,36.75,90.77,60.05,17.1,110.38,146.04,76.77
Platform,0,145.24,202,393.12,88.77,829.13,88.48,106.28,212.92,38.31,17.23,46.8,106.5,30.12,36.73,41.27,40.58,12.07
Misc,2.71,5.74,79.08,561.15,141.19,789.87,0.82,38.08,285.2,70.29,0.05,18.6,152.09,40.88,4.86,19.5,65.06,17.25
Racing,0,18.36,164.13,455.52,88.75,726.76,9.92,85.63,230.02,31.36,2.56,46.41,146.35,40.99,5.17,24.87,20.96,5.61
Fighting,0.77,6.47,143.67,225.95,67.19,444.05,2.8,65.9,119.83,31.49,0.65,30.11,52.55,16.65,2.92,42.52,29.47,12.24
Simulation,0,1.65,54.29,284.88,49.16,389.98,0.88,18.46,146.98,15.46,0.24,9.18,85.19,18.41,0.48,24.27,27.25,11.54
Puzzle,0,68.73,36.81,126.62,10.05,242.21,46.82,11.89,60.46,2.84,6.23,4.73,35.99,3.57,14.4,19.08,20.29,2.91
Adventure,0,4.78,47.79,137.44,44.46,234.47,2.57,17.82,67.2,14.34,0.52,13.87,35.5,13.85,1.61,14.4,24.04,11.82
Strategy,0,0,65.93,85.47,21.87,173.27,0,24.87,35.49,7.47,0,13.26,23.79,7.79,0,25.37,19.15,4.58
