,Platform,NA,EU,JA,OTHER
0,Wii,497.37,264.35,68.28,0
1,NES,125.94,21.15,98.65,0
2,GB,113.64,47.51,85.12,0
3,DS,388.53,194.05,175.02,0
4,X360,594.33,278,12.3,0
5,PS3,388.9,340.47,79.13,0
6,PS2,572.92,332.63,137.54,0
7,SNES,61.23,19.04,116.55,0
8,GBA,178.43,72.49,46.56,0
9,3DS,78.03,58.29,97.3,0
10,PS4,96.8,123.7,14.3,0
11,N64,138.91,41.03,33.76,0
12,PS,334.71,212.38,139.78,0
13,XB,182.06,59.65,1.38,0
14,PC,92.04,137.35,0.17,0
15,2600,80.78,4.86,0,0
16,PSP,107.09,67.16,75.85,0
17,XOne,83.19,45.65,0.34,0
18,GC,131.94,38.32,21.34,0
19,WiiU,38.32,24.23,12.79,0
20,GEN,19.27,5.52,2.67,0
21,DC,5.43,1.69,8.56,0
22,PSV,16.07,16.27,20.86,0
23,SAT,0.72,0.54,32.26,0
24,SCD,1,0.36,0.45,0
25,WS,0,0,1.42,0
26,NG,0,0,1.44,0
27,TG16,0,0,0.16,0
28,3DO,0,0,0.1,0
29,GG,0,0,0.04,0
30,PCFX,0,0,0.03,0
