Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
�ܼ�,4392.95,2434.25,1290.9,797.87,8920.32
XOne,83.19,45.65,0.34,11.92,141.06
XOne,4.52,2.09,0.01,0.67,7.3
XOne,3.21,1.53,0.01,0.38,5.13
XOne,2.66,2.01,0,0.41,5.08
XOne,2.64,1.2,0.03,0.39,4.26
XOne,2.45,1.26,0.01,0.37,4.09
XOne,1.94,1.22,0.02,0.31,3.49
XOne,2.26,0.89,0,0.3,3.46
XOne,2.13,0.92,0,0.23,3.28
XOne,0.88,2.11,0,0.23,3.23
XOne,1.89,0.99,0.03,0.24,3.15
XOne,2.38,0.32,0,0.31,3
XOne,1.84,0.8,0.04,0.22,2.9
XOne,1.87,0.77,0,0.22,2.86
XOne,1.43,0.76,0,0.22,2.41
XOne,2.07,0.08,0,0.26,2.4
XOne,1.93,0.14,0,0.24,2.32
XOne,1.47,0.55,0,0.19,2.21
XOne,1.21,0.78,0.01,0.17,2.18
XOne,0.6,1.41,0,0.14,2.15
XOne,1.2,0.62,0,0.18,2.01
XOne,1.25,0.58,0,0.16,1.98
XOne,0.69,0.89,0.03,0.14,1.74
XOne,1.36,0.18,0,0.15,1.69
XOne,0.79,0.68,0.01,0.13,1.61
XOne,0.9,0.53,0,0.13,1.55
XOne,1.06,0.35,0.01,0.12,1.54
XOne,0.17,1.26,0,0.1,1.53
XOne,1.3,0.09,0,0.12,1.51
XOne,0.86,0.46,0,0.13,1.45
XOne,0.5,0.78,0.01,0.09,1.37
XOne,0.82,0.42,0,0.11,1.36
XOne,1,0.21,0,0.13,1.35
XOne,0.72,0.5,0.01,0.1,1.32
XOne,0.53,0.64,0.02,0.1,1.3
XOne,0.73,0.44,0,0.12,1.29
XOne,0.61,0.56,0,0.11,1.28
XOne,0.77,0.38,0,0.12,1.27
XOne,0.66,0.47,0,0.11,1.24
XOne,0.72,0.37,0.01,0.11,1.2
XOne,0.41,0.66,0,0.12,1.19
XOne,0.82,0.23,0,0.11,1.17
XOne,0.62,0.4,0,0.08,1.11
XOne,0.61,0.34,0,0.09,1.04
XOne,0.55,0.28,0,0.07,0.91
XOne,0.42,0.38,0,0.07,0.88
XOne,0.7,0.11,0,0.06,0.87
XOne,0.46,0.32,0,0.07,0.85
XOne,0.52,0.25,0,0.08,0.85
XOne,0.72,0.02,0,0.09,0.82
XOne,0.43,0.3,0.01,0.07,0.81
XOne,0.67,0.05,0,0.05,0.77
XOne,0.47,0.21,0.01,0.07,0.75
XOne,0.37,0.26,0.01,0.06,0.71
XOne,0.39,0.23,0,0.06,0.68
XOne,0.39,0.23,0,0.06,0.68
XOne,0.3,0.33,0,0.06,0.68
XOne,0.45,0.17,0,0.05,0.67
XOne,0.33,0.28,0,0.06,0.67
XOne,0.35,0.25,0,0.05,0.65
XOne,0.35,0.24,0,0.05,0.64
XOne,0.54,0.04,0,0.07,0.64
XOne,0.24,0.34,0,0.05,0.63
XOne,0.35,0.22,0,0.06,0.63
XOne,0.36,0.2,0,0.06,0.62
XOne,0.34,0.21,0,0.05,0.6
XOne,0.3,0.22,0.02,0.04,0.58
XOne,0.31,0.22,0,0.05,0.58
XOne,0.28,0.23,0,0.04,0.56
XOne,0.29,0.21,0,0.05,0.54
XOne,0.35,0.13,0,0.05,0.53
XOne,0.34,0.13,0,0.04,0.51
XOne,0.27,0.19,0.01,0.04,0.51
XOne,0.29,0.17,0,0.05,0.51
XOne,0.22,0.24,0,0.04,0.5
XOne,0.37,0.05,0,0.05,0.47
XOne,0.3,0.12,0,0.04,0.46
XOne,0.26,0.16,0,0.04,0.46
XOne,0.26,0.15,0,0.04,0.45
XOne,0.3,0.11,0,0.04,0.45
XOne,0.26,0.15,0,0.04,0.44
XOne,0.35,0.04,0,0.04,0.43
XOne,0.23,0.17,0,0.04,0.43
XOne,0.24,0.15,0,0.03,0.42
XOne,0.24,0.13,0,0.04,0.41
