Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Zushi Games,0.33,0,0,0.03,0.36
Zushi Games,0.31,0,0,0.02,0.33
Zushi Games,0.26,0.01,0,0.02,0.3
Zushi Games,0.18,0.01,0,0.01,0.21
Zushi Games,0.1,0,0.01,0.01,0.13
Zushi Games,0.11,0,0,0.01,0.12
Zushi Games,0.08,0,0,0.01,0.09
Zushi Games,0.05,0,0,0,0.05
Zushi Games,0.04,0,0,0,0.05
Zushi Games,0.04,0,0,0,0.04
Zushi Games,0.03,0,0,0,0.04
Zushi Games,0.03,0.01,0,0,0.03
Zushi Games,0.03,0,0,0,0.03
Zushi Games,0.02,0,0,0,0.03
Zushi Games,0.02,0,0,0,0.02
Zushi Games,0.02,0,0,0,0.02
Zushi Games,0.02,0,0,0,0.02
Zushi Games,0,0.02,0,0,0.02
Zoo Games,1.22,0,0,0.09,1.31
Zoo Games,0.39,0,0,0.02,0.41
Zoo Games,0.3,0,0,0.02,0.32
Zoo Games,0.29,0,0,0.02,0.31
Zoo Games,0.25,0,0,0.02,0.26
Zoo Games,0.2,0,0,0.01,0.21
Zoo Games,0.18,0,0,0.01,0.19
Zoo Games,0.18,0,0,0.01,0.19
Zoo Games,0.17,0,0,0.01,0.18
Zoo Games,0.13,0,0,0.01,0.14
Zoo Games,0.12,0,0,0.01,0.13
Zoo Games,0.11,0,0,0.01,0.12
Zoo Games,0.11,0,0,0.01,0.12
Zoo Games,0.08,0,0,0.01,0.09
Zoo Games,0.07,0,0,0.01,0.07
Zoo Games,0.07,0,0,0,0.07
Zoo Games,0.06,0,0,0,0.07
Zoo Games,0.06,0,0,0,0.07
Zoo Games,0.06,0,0,0,0.07
Zoo Games,0.06,0,0,0,0.07
Zoo Games,0.06,0,0,0,0.06
Zoo Games,0.05,0,0,0,0.05
Zoo Games,0.04,0,0,0,0.04
Zoo Games,0.04,0,0,0,0.04
Zoo Games,0.04,0,0,0,0.04
Zoo Games,0.04,0,0,0,0.04
Zoo Games,0.03,0,0,0,0.03
Zoo Games,0.03,0,0,0,0.03
Zoo Games,0.02,0,0,0,0.03
Zoo Games,0.02,0,0,0,0.02
Zoo Games,0.02,0,0,0,0.02
Zoo Games,0.01,0,0,0,0.01
Zoo Games,0.01,0,0,0,0.01
Zoo Digital Publishing,0.57,0.45,0,0.15,1.17
Zoo Digital Publishing,0.4,0.15,0,0.01,0.56
Zoo Digital Publishing,0.35,0.13,0,0.01,0.48
Zoo Digital Publishing,0.35,0.01,0,0.06,0.42
Zoo Digital Publishing,0.18,0.14,0,0.05,0.36
Zoo Digital Publishing,0.33,0.01,0,0.02,0.36
Zoo Digital Publishing,0.17,0.14,0,0.05,0.35
Zoo Digital Publishing,0.26,0.08,0,0.01,0.35
Zoo Digital Publishing,0.25,0.09,0,0.01,0.34
Zoo Digital Publishing,0.3,0,0,0.02,0.32
Zoo Digital Publishing,0.19,0.07,0,0,0.27
Zoo Digital Publishing,0.18,0.07,0,0,0.25
Zoo Digital Publishing,0.22,0,0,0.02,0.23
Zoo Digital Publishing,0.11,0.09,0,0.03,0.23
Zoo Digital Publishing,0.17,0.05,0,0.01,0.23
Zoo Digital Publishing,0.21,0,0,0.01,0.22
Zoo Digital Publishing,0.16,0.06,0,0,0.22
Zoo Digital Publishing,0.19,0.01,0,0.02,0.22
Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21
Zoo Digital Publishing,0.15,0.05,0,0,0.2
Zoo Digital Publishing,0.18,0,0,0.01,0.19
Zoo Digital Publishing,0.18,0,0,0.01,0.19
Zoo Digital Publishing,0.13,0.05,0,0,0.18
Zoo Digital Publishing,0.09,0.07,0,0.02,0.18
Zoo Digital Publishing,0.12,0.03,0,0.01,0.16
Zoo Digital Publishing,0.11,0.03,0,0.01,0.15
Zoo Digital Publishing,0.14,0,0,0.01,0.15
Zoo Digital Publishing,0.11,0.03,0,0.01,0.15
Zoo Digital Publishing,0.13,0,0,0.01,0.14
Zoo Digital Publishing,0.13,0,0,0.01,0.14
Zoo Digital Publishing,0.12,0,0,0.01,0.13
Zoo Digital Publishing,0.1,0.04,0,0,0.13
Zoo Digital Publishing,0.12,0,0,0.01,0.13
Zoo Digital Publishing,0.07,0.04,0,0.01,0.13
Zoo Digital Publishing,0.11,0,0,0.01,0.12
Zoo Digital Publishing,0.11,0,0,0.01,0.12
Zoo Digital Publishing,0.11,0,0,0.01,0.12
Zoo Digital Publishing,0.08,0.03,0,0,0.11
Zoo Digital Publishing,0.08,0.03,0,0,0.11
Zoo Digital Publishing,0.1,0,0,0.01,0.11
Zoo Digital Publishing,0.08,0.03,0,0,0.11
Zoo Digital Publishing,0.08,0.02,0,0,0.1
Zoo Digital Publishing,0.07,0.03,0,0,0.1
Zoo Digital Publishing,0.1,0,0,0.01,0.1
Zoo Digital Publishing,0.09,0,0,0.01,0.1
Zoo Digital Publishing,0.05,0.04,0,0.01,0.1
Zoo Digital Publishing,0.09,0,0,0.01,0.1
Zoo Digital Publishing,0.09,0,0,0.01,0.09
Zoo Digital Publishing,0.09,0,0,0.01,0.09
Zoo Digital Publishing,0.07,0,0,0.01,0.08
Zoo Digital Publishing,0.07,0,0,0.01,0.08
Zoo Digital Publishing,0.05,0.02,0,0,0.08
Zoo Digital Publishing,0.07,0,0,0.01,0.07
Zoo Digital Publishing,0.05,0.02,0,0,0.07
Zoo Digital Publishing,0.05,0.02,0,0,0.07
Zoo Digital Publishing,0.06,0,0,0.01,0.07
Zoo Digital Publishing,0.05,0.01,0,0.01,0.07
Zoo Digital Publishing,0.05,0.02,0,0,0.07
Zoo Digital Publishing,0.03,0.02,0,0.01,0.06
Zoo Digital Publishing,0.06,0,0,0,0.06
Zoo Digital Publishing,0.04,0.02,0,0,0.06
Zoo Digital Publishing,0.04,0.02,0,0,0.06
Zoo Digital Publishing,0.04,0.02,0,0,0.06
Zoo Digital Publishing,0.04,0.01,0,0,0.06
Zoo Digital Publishing,0.04,0.01,0,0,0.05
Zoo Digital Publishing,0.04,0.01,0,0,0.05
Zoo Digital Publishing,0.04,0.01,0,0,0.05
Zoo Digital Publishing,0.04,0,0,0,0.05
Zoo Digital Publishing,0.04,0,0,0,0.05
Zoo Digital Publishing,0.04,0,0,0,0.05
Zoo Digital Publishing,0.03,0.01,0,0,0.04
Zoo Digital Publishing,0.04,0,0,0,0.04
Zoo Digital Publishing,0.03,0.01,0,0,0.04
Zoo Digital Publishing,0.04,0,0,0,0.04
Zoo Digital Publishing,0.03,0.01,0,0,0.04
Zoo Digital Publishing,0.03,0,0,0,0.04
Zoo Digital Publishing,0.02,0.01,0,0,0.03
Zoo Digital Publishing,0.02,0.01,0,0,0.03
Zoo Digital Publishing,0.02,0.01,0,0,0.03
Zoo Digital Publishing,0.03,0,0,0,0.03
Zoo Digital Publishing,0.02,0.01,0,0,0.03
Zoo Digital Publishing,0.03,0,0,0,0.03
Zoo Digital Publishing,0.02,0.01,0,0,0.03
Zoo Digital Publishing,0.02,0.01,0,0,0.03
Zoo Digital Publishing,0.03,0,0,0,0.03
Zoo Digital Publishing,0.02,0.01,0,0,0.03
Zoo Digital Publishing,0.02,0.01,0,0,0.02
Zoo Digital Publishing,0.02,0,0,0,0.02
Zoo Digital Publishing,0.02,0.01,0,0,0.02
Zoo Digital Publishing,0.02,0,0,0,0.02
Zoo Digital Publishing,0.02,0,0,0,0.02
Zoo Digital Publishing,0.02,0.01,0,0,0.02
Zoo Digital Publishing,0,0,0.02,0,0.02
Zoo Digital Publishing,0.02,0,0,0,0.02
Zoo Digital Publishing,0.01,0,0,0,0.02
Zoo Digital Publishing,0.01,0,0,0,0.02
Zoo Digital Publishing,0.01,0.01,0,0,0.02
Zoo Digital Publishing,0.01,0,0,0,0.01
Zoo Digital Publishing,0.01,0,0,0,0.01
Zoo Digital Publishing,0.01,0,0,0,0.01
Zoo Digital Publishing,0.01,0,0,0,0.01
Zoo Digital Publishing,0.01,0,0,0,0.01
Zoo Digital Publishing,0.01,0,0,0,0.01
Zoo Digital Publishing,0.01,0,0,0,0.01
Zenrin,0,0,0.04,0,0.04
Zenrin,0,0,0.02,0,0.02
Yumedia,0,0,0.06,0,0.06
Yuke's,0.01,0.01,0,0,0.03
Yuke's,0,0,0.03,0,0.03
Yuke's,0,0,0.02,0,0.02
Yeti,0,0,0.05,0,0.05
Yeti,0,0,0.04,0,0.04
Yeti,0,0,0.03,0,0.03
Yeti,0,0,0.03,0,0.03
Yeti,0,0,0.02,0,0.02
Yeti,0,0,0.02,0,0.02
Yeti,0,0,0.01,0,0.01
Yeti,0,0,0.01,0,0.01
Yeti,0,0,0.01,0,0.01
Yeti,0,0,0.01,0,0.01
Yeti,0,0,0.01,0,0.01
Yamasa Entertainment,0,0,0.02,0,0.02
Yamasa Entertainment,0,0,0.02,0,0.02
Yacht Club Games,0.07,0.04,0.01,0.01,0.13
Yacht Club Games,0.06,0.04,0,0.01,0.11
Yacht Club Games,0.03,0.03,0,0.01,0.08
Xseed Games,0.31,0,0.21,0.03,0.55
Xseed Games,0.04,0.01,0.12,0.01,0.19
Xseed Games,0.04,0.01,0.04,0.02,0.11
Xseed Games,0.02,0.02,0,0.01,0.05
XS Games,0.45,0,0,0.03,0.49
XS Games,0.23,0,0,0.02,0.24
XS Games,0.13,0.09,0,0.02,0.24
XS Games,0.2,0,0,0.02,0.21
XS Games,0.06,0.05,0,0.02,0.13
XS Games,0.03,0.01,0,0,0.04
XS Games,0.02,0.01,0,0,0.04
XS Games,0.01,0.01,0,0,0.02
XS Games,0.02,0,0,0,0.02
XS Games,0.01,0,0,0,0.01
XS Games,0.01,0,0,0,0.01
XS Games,0.01,0,0,0,0.01
Xplosiv,0.06,0.4,0,0.01,0.48
Xplosiv,0,0.23,0,0.05,0.28
Xplosiv,0.1,0.08,0,0.03,0.2
Xplosiv,0.1,0.07,0,0.03,0.2
Xplosiv,0.14,0,0,0.01,0.15
Xplosiv,0.05,0.08,0,0.02,0.14
Xplosiv,0.06,0,0,0.01,0.07
Xplosiv,0.05,0,0,0.01,0.06
Xplosiv,0.04,0,0,0,0.05
Xplosiv,0.01,0,0,0,0.01
Xing Entertainment,0.04,0.03,0.16,0.02,0.24
Xicat Interactive,0.05,0.04,0,0.01,0.11
Xicat Interactive,0.02,0.01,0,0,0.03
Xicat Interactive,0.02,0.01,0,0,0.03
